keyspace	workload	NumOfThreads	castleL-finalTreeSize	castleL-sRetries	castleL-iRetries	castleL-dRetries	castleL-sTime	castleL-iSeekTime	castleL-iExecTime	castleL-iTotTime	castleL-dSeekTime	castleL-dExecTime	castleL-dTotTime	castleL-avgSeekLen	castleL-initHt	castleL-finalHt	castleL-avgSeekTime	castleL-avgExecutionTime	castleL-MOPS	castle-finalTreeSize	castle-sRetries	castle-iRetries	castle-dRetries	castle-sTime	castle-iSeekTime	castle-iExecTime	castle-iTotTime	castle-dSeekTime	castle-dExecTime	castle-dTotTime	castle-avgSeekLen	castle-initHt	castle-finalHt	castle-avgSeekTime	castle-avgExecutionTime	castle-MOPS	citrusL-finalTreeSize	citrusL-sRetries	citrusL-iRetries	citrusL-dRetries	citrusL-sTime	citrusL-iSeekTime	citrusL-iExecTime	citrusL-iTotTime	citrusL-dSeekTime	citrusL-dExecTime	citrusL-dTotTime	citrusL-avgSeekLen	citrusL-initHt	citrusL-finalHt	citrusL-avgSeekTime	citrusL-avgExecutionTime	citrusL-MOPS	citrus-finalTreeSize	citrus-sRetries	citrus-iRetries	citrus-dRetries	citrus-sTime	citrus-iSeekTime	citrus-iExecTime	citrus-iTotTime	citrus-dSeekTime	citrus-dExecTime	citrus-dTotTime	citrus-avgSeekLen	citrus-initHt	citrus-finalHt	citrus-avgSeekTime	citrus-avgExecutionTime	citrus-MOPS	howleyL-finalTreeSize	howleyL-sRetries	howleyL-iRetries	howleyL-dRetries	howleyL-sTime	howleyL-iSeekTime	howleyL-iExecTime	howleyL-iTotTime	howleyL-dSeekTime	howleyL-dExecTime	howleyL-dTotTime	howleyL-avgSeekLen	howleyL-initHt	howleyL-finalHt	howleyL-avgSeekTime	howleyL-avgExecutionTime	howleyL-MOPS	howley-finalTreeSize	howley-sRetries	howley-iRetries	howley-dRetries	howley-sTime	howley-iSeekTime	howley-iExecTime	howley-iTotTime	howley-dSeekTime	howley-dExecTime	howley-dTotTime	howley-avgSeekLen	howley-initHt	howley-finalHt	howley-avgSeekTime	howley-avgExecutionTime	howley-MOPS
20000	90-9-1	30	12179.8	0	0.28	0.74	1125.07	0	1786.56	1786.56	0	2678.64	2678.64	25.68	31.2	40.8	1012.54	1875.72	15.83	12176.6	0.01	0.26	0.59	1194.65	0	1311.73	1311.73	0	2224.71	2224.71	25.81	30.4	40.2	1075.17	1403	15.75	12167.2	0	0.65	1.54	1172.43	0	2324.23	2324.23	0	9652.97	9652.97	26.09	32.6	43.8	1055.19	3056.72	14.4	12168.6	0	0.63	1.53	1151.45	0	1987.3	1987.3	0	9166.31	9166.31	26.37	34	40.6	1036.3	2704.92	14.8	12171.4	0	0.73	0.31	2035.09	0	2261.21	2261.21	0	3790.01	3790.01	24.36	32	39.2	1831.58	2414.11	10.75	12173.6	0.18	0.4	0.35	1319.87	0	1671.03	1671.03	0	3266.42	3266.42	25.86	32	40	1187.88	1830.52	14.35
20000	90-9-1	61	12185	0	0.69	2.87	1297.13	0	1995.04	1995.04	0	3185.63	3185.63	26.57	31	41.2	1167.41	2114.13	29.36	12153	0.03	0.58	1.7	1387.17	0	1527.12	1527.12	0	2754.7	2754.7	27.54	30.4	44.2	1248.44	1649.89	29	12167	0	1.28	7.3	1375.95	0	4684.9	4684.9	0	52144.77	52144.77	26.76	32.6	41.4	1238.33	9430.29	21.01	12157.6	0	1.26	7.61	1328.29	0	4429.12	4429.12	0	54601.11	54601.11	27.05	34	40.8	1195.47	9444.99	21.36	12186.4	0	1.76	0.73	2257.46	0	2526.06	2526.06	0	4130.31	4130.31	25.87	32	41.6	2031.74	2686.43	20.23	12151	0.46	0.99	0.83	1488.3	0	1914.86	1914.86	0	3649.11	3649.11	26.79	32	38.4	1339.47	2088.22	27.01
20000	90-9-1	90	12170.4	0	1.16	5.74	1545	0	2403.88	2403.88	0	3842.87	3842.87	27.53	30.6	43	1390.5	2547.8	36.99	12160.6	0.05	0.95	3.15	1616.86	0	1793.86	1793.86	0	3295.24	3295.24	28.32	30.2	44	1455.17	1944.02	37.24	12174.8	0	1.51	12.24	1448.03	0	7894.72	7894.72	0	160259.23	160259.23	26.45	33.8	41.2	1303.2	23133.23	20.36	12171.2	0	1.47	12.31	1404.94	0	7563.12	7563.12	0	159444	159444	26.81	34	37.8	1264.47	22752.03	20.8	12161.4	0	3.02	1.15	2704.7	0	3090.43	3090.43	0	4929.38	4929.38	26.48	32	41.4	2434.25	3274.27	25.2	12149.8	0.81	1.75	1.49	1743.66	0	2453.82	2453.82	0	4451.48	4451.48	27.55	32	41.6	1569.3	2653.54	34.17
20000	90-9-1	122	12166.6	0	1.8	11.25	1763.23	0	2735.1	2735.1	0	4466.38	4466.38	27.99	31	41	1586.91	2908.18	44.93	12159	0.07	1.36	5.6	1824.55	0	2043.25	2043.25	0	3762.62	3762.62	28.39	30.6	42.4	1642.11	2215.16	45.56	12146	0	1.61	14.78	1499.76	0	10713.43	10713.43	0	290910.08	290910.08	25.89	33.6	40	1349.78	38721.48	20.09	12159.4	0	1.56	14.79	1429.03	0	10172.81	10172.81	0	291706.39	291706.39	26.41	34	38.2	1286.14	38327.61	20.57	12156.6	0	5.07	1.84	3168.16	0	3796.39	3796.39	0	5700.52	5700.52	26.34	32	40.2	2851.37	3986.76	29.7	12169.8	1.46	2.95	2.75	2045.82	0	3376.44	3376.44	0	5705.07	5705.07	28.11	32	41	1841.25	3609.24	40.06
20000	90-9-1	150	12160.4	0	2.08	13.24	2014	0	3152.39	3152.39	0	5081.49	5081.49	28.22	30.4	40	1812.61	3345.26	48.12	12147.4	0.09	1.6	6.89	2089.34	0	2343.81	2343.81	0	4368.57	4368.57	28.62	31	42.2	1880.42	2546.25	48.49	12149.4	0	1.63	15.95	1560.81	0	12562.29	12562.29	0	421388.73	421388.73	25.91	33.6	39.6	1404.71	53439.63	19.65	12133.2	0	1.56	16.07	1457.5	0	11492.8	11492.8	0	421381.59	421381.59	25.86	34	39	1311.75	52478.74	20.26	12174.2	0.01	6.42	2.23	3808.42	0	4645.49	4645.49	0	6668	6668	27.04	32	41.6	3427.57	4847.73	30.65	12164.8	1.99	3.81	3.64	2396.49	0	4404.43	4404.43	0	6919.67	6919.67	28.52	32	41.8	2156.84	4655.92	41.8
20000	90-9-1	183	12177.2	0	2.4	15.89	2265.66	0	3560.55	3560.55	0	5697.96	5697.96	28.27	31	41.4	2039.1	3774.23	52.17	12174.6	0.1	1.83	8.2	2372.8	0	2666.95	2666.95	0	4909.73	4909.73	29.21	30.6	43.6	2135.53	2891.16	52.03	12128.6	0	1.62	16.89	1575.11	0	14660.32	14660.32	0	589185.55	589185.55	24.84	33	38.2	1417.6	72089.99	19.21	12138.8	0	1.58	16.97	1465.98	0	13641.22	13641.22	0	576145.5	576145.5	24.83	34	37	1319.38	69879.69	19.95	12163.2	0.01	8.31	2.76	4495.15	0	5700.45	5700.45	0	7808.36	7808.36	26.86	32	42.8	4045.61	5911.21	31.95	12166.4	2.82	5.05	5.05	2758.65	0	5933.53	5933.53	0	8722.22	8722.22	28.71	32	42.4	2482.79	6212.38	43.85
20000	90-9-1	210	12159.2	0	2.57	16.03	2538.84	0	4056.83	4056.83	0	6278.47	6278.47	29.13	31	42.4	2284.94	4278.98	53.43	12186	0.11	1.96	8.99	2596.78	0	2915.4	2915.4	0	5209.89	5209.89	28.66	30.6	43.2	2337.1	3144.83	54.08	12151.2	0	1.63	17.53	1586.19	0	16189.25	16189.25	0	725603.47	725603.47	24.54	33.4	35.8	1427.57	87108.73	19.02	12140.8	0	1.57	17.45	1483.34	0	15482.2	15482.2	0	713903.52	713903.52	24.44	34	36.4	1335	85285.02	19.54	12177	0.01	9.45	3.03	5136.92	0	6604.7	6604.7	0	8566.24	8566.24	26.85	32	41	4623.25	6800.77	32.24	12163.6	3.45	5.87	5.98	3096.35	0	7245.75	7245.75	0	10131.79	10131.79	29.13	32	42	2786.71	7534.29	44.45
20000	90-9-1	244	12170.2	0	18.25	65.32	2795.06	0	4542.37	4542.37	0	7062.5	7062.5	28.49	31.2	39.6	2515.54	4794.34	55.86	12177.2	0.13	2.15	9.94	2891.99	0	3251.47	3251.47	0	5748.53	5748.53	28.93	30.4	43.6	2602.78	3501.14	56.27	12135.2	0	1.59	17.91	1571.49	0	16432.96	16432.96	0	921043.96	921043.96	23.34	33	35	1414.33	106910.04	18.76	12142.4	0	1.54	17.96	1482.07	0	15827.95	15827.95	0	910455.93	910455.93	24.31	34	35.6	1333.85	105230.31	19.15	12155	0.01	10.96	3.35	5980.75	0	7813.39	7813.39	0	9748.81	9748.81	26.97	32	41.6	5382.64	8006.8	32.47	12161.6	4.51	7.25	7.51	3469.55	0	9512.34	9512.34	0	12511.95	12511.95	29.36	32	42	3122.58	9812.22	45.31
200000	90-9-1	1	115071.4	0	0	0	1420.92	0	1947.75	1947.75	0	2399.42	2399.42	19.56	42.2	42.6	1278.91	1992.94	0.42	115075.6	0	0	0	1462.29	0	1593.23	1593.23	0	2064.16	2064.16	19.56	42.2	42.6	1316.16	1640.33	0.42	114770.8	0	0	0	1545.98	0	2162.16	2162.16	0	3378.85	3378.85	20.55	44.2	44.6	1391.5	2283.91	0.39	114778.4	0	0	0	1540.41	0	2008.66	2008.66	0	3168.76	3168.76	20.72	42	42.6	1386.26	2124.83	0.4	113175.8	0	0	0	2375.76	0	2658.15	2658.15	0	3978.99	3978.99	19.41	40	40.4	2138	2790.35	0.3	114453	0	0	0	1689.14	0	2061.62	2061.62	0	3314.2	3314.2	19.61	40	40.6	1520.1	2186.92	0.37
200000	90-9-1	30	118920	0	0.16	0.36	1623.99	0	2308.57	2308.57	0	3229.9	3229.9	26.18	40.4	42.8	1461.55	2400.7	11.61	118942.2	0	0.16	0.31	1631.96	0	1776.23	1776.23	0	2780.02	2780.02	25.92	40	43.4	1468.74	1876.58	11.88	118908.2	0	0.33	0.63	1721.9	0	2676.27	2676.27	0	8604.77	8604.77	26.74	43.2	45.2	1549.68	3269.23	10.88	118877.8	0	0.32	0.63	1666.49	0	2363.31	2363.31	0	7643.54	7643.54	26.59	42	43.6	1499.79	2891.45	11.26	118842	0	0.42	0.17	2666.03	0	2914.08	2914.08	0	4696.59	4696.59	24.61	40	41	2399.35	3092.32	8.34	118888.6	0.09	0.21	0.18	1872.14	0	2237.73	2237.73	0	4110.38	4110.38	25.63	40	42.8	1684.88	2425.06	10.67
