keyspace	workload	NumOfThreads	castleL-finalTreeSize	castleL-sRetries	castleL-iRetries	castleL-dRetries	castleL-sTime	castleL-iSeekTime	castleL-iExecTime	castleL-iTotTime	castleL-dSeekTime	castleL-dExecTime	castleL-dTotTime	castleL-avgSeekLen	castleL-initHt	castleL-finalHt	castleL-avgSeekTime	castleL-avgExecutionTime	castleL-MOPS	castle-finalTreeSize	castle-sRetries	castle-iRetries	castle-dRetries	castle-sTime	castle-iSeekTime	castle-iExecTime	castle-iTotTime	castle-dSeekTime	castle-dExecTime	castle-dTotTime	castle-avgSeekLen	castle-initHt	castle-finalHt	castle-avgSeekTime	castle-avgExecutionTime	castle-MOPS	citrusL-finalTreeSize	citrusL-sRetries	citrusL-iRetries	citrusL-dRetries	citrusL-sTime	citrusL-iSeekTime	citrusL-iExecTime	citrusL-iTotTime	citrusL-dSeekTime	citrusL-dExecTime	citrusL-dTotTime	citrusL-avgSeekLen	citrusL-initHt	citrusL-finalHt	citrusL-avgSeekTime	citrusL-avgExecutionTime	citrusL-MOPS	citrus-finalTreeSize	citrus-sRetries	citrus-iRetries	citrus-dRetries	citrus-sTime	citrus-iSeekTime	citrus-iExecTime	citrus-iTotTime	citrus-dSeekTime	citrus-dExecTime	citrus-dTotTime	citrus-avgSeekLen	citrus-initHt	citrus-finalHt	citrus-avgSeekTime	citrus-avgExecutionTime	citrus-MOPS	howleyL-finalTreeSize	howleyL-sRetries	howleyL-iRetries	howleyL-dRetries	howleyL-sTime	howleyL-iSeekTime	howleyL-iExecTime	howleyL-iTotTime	howleyL-dSeekTime	howleyL-dExecTime	howleyL-dTotTime	howleyL-avgSeekLen	howleyL-initHt	howleyL-finalHt	howleyL-avgSeekTime	howleyL-avgExecutionTime	howleyL-MOPS	howley-finalTreeSize	howley-sRetries	howley-iRetries	howley-dRetries	howley-sTime	howley-iSeekTime	howley-iExecTime	howley-iTotTime	howley-dSeekTime	howley-dExecTime	howley-dTotTime	howley-avgSeekLen	howley-initHt	howley-finalHt	howley-avgSeekTime	howley-avgExecutionTime	howley-MOPS
20000	90-9-1	30	18028.6	0	0	0	1215.79	0	1648.05	1648.05	0	2835.41	2835.41	16.55	29.4	29.4	1094.21	1766.8	14.91	17995.8	0	0	0	1192.81	0	1317.13	1317.13	0	2222.08	2222.08	16.57	29.6	28.2	1073.55	1407.62	15.35	18003.4	0	0	0.01	1339.49	0	1892.91	1892.91	0	6776.03	6776.03	17.56	32	30.8	1205.57	2381.26	13.68	18015.6	0	0	0.01	1344.76	0	1795.54	1795.54	0	6273.15	6273.15	17.95	33.4	32.4	1210.32	2243.42	13.75	17974.2	0	0	0	1985.09	0	2219.84	2219.84	0	4054.01	4054.01	17.01	31.4	29.6	1786.59	2403.32	10.82	18018.8	0	0	0	1376.11	0	1681.84	1681.84	0	3605.42	3605.42	16.95	31.4	30	1238.53	1874.24	13.85
20000	90-9-1	61	18018.8	0	0	0.01	1223.83	0	1624.1	1624.1	0	2553.4	2553.4	16.45	29.4	27.6	1101.46	1717	30.21	17999.4	0	0	0.01	1200.55	0	1327.86	1327.86	0	2272.34	2272.34	16.45	29.2	28	1080.51	1422.31	31.01	18006.8	0	0.01	0.01	1377.51	0	2035.52	2035.52	0	9129.14	9129.14	17.47	30.6	30.6	1239.77	2744.69	26.97	18004.2	0	0	0.01	1389.07	0	1924.88	1924.88	0	8689.02	8689.02	17.87	33.4	31.8	1250.17	2601.29	27.08	18007	0	0.01	0	1991.16	0	2233.16	2233.16	0	4091.32	4091.32	16.92	31.4	30	1792.03	2418.96	21.94	17989.2	0	0	0.01	1403.25	0	1727.07	1727.07	0	3704.02	3704.02	16.9	31.4	29.6	1262.93	1924.74	27.68
20000	90-9-1	90	18005.6	0	0	0.01	1366.33	0	1849.28	1849.28	0	2866.4	2866.4	16.45	29.4	27.6	1229.7	1950.93	39.31	17987.6	0	0	0.01	1326.8	0	1478.82	1478.82	0	2498.03	2498.03	16.42	28.8	27.4	1194.13	1580.71	40.74	17961.8	0	0.01	0.02	1536.92	0	2387.16	2387.16	0	12318.93	12318.93	17.44	31.8	30	1383.23	3379.81	34.83	18005.6	0	0.01	0.02	1546.89	0	2218.48	2218.48	0	11936.49	11936.49	17.78	33.4	31.4	1392.2	3190.29	34.94	17993.2	0	0.02	0.01	2199.67	0	2488.38	2488.38	0	4630.26	4630.26	16.83	31.4	29.6	1979.68	2702.59	28.91	17982.6	0	0	0.01	1539.03	0	1920.45	1920.45	0	4176.57	4176.57	16.81	31.4	29.4	1385.12	2146.05	36.67
20000	90-9-1	122	17995.8	0	0	0.01	1461.31	0	2028.92	2028.92	0	3298.76	3298.76	16.38	29.2	28	1315.19	2155.85	49.26	17989.6	0	0	0.01	1405.65	0	1576.46	1576.46	0	2614.07	2614.07	16.37	29.2	28.2	1265.09	1680.18	51.67	18022.2	0	0.01	0.03	1678.8	0	2744.63	2744.63	0	15770.63	15770.63	17.41	31	30.2	1510.94	4046.72	42.77	18002.2	0	0.01	0.03	1684.64	0	2492.54	2492.54	0	15142.1	15142.1	17.77	33.4	31.2	1516.17	3757.52	42.92	17990.4	0	0.02	0.01	2364.91	0	2707.12	2707.12	0	5015.21	5015.21	16.81	31.4	30	2128.39	2937.96	36.29	18039.6	0.01	0.01	0.01	1654.45	0	2095.17	2095.17	0	4546.3	4546.3	16.74	31.4	29	1489.01	2340.25	45.95
20000	90-9-1	150	18020	0	0.01	0.01	1644.15	0	2287.84	2287.84	0	3428.19	3428.19	16.38	29	27.8	1479.75	2401.85	52.94	18015.4	0	0	0.01	1600.8	0	1787.7	1787.7	0	2924.83	2924.83	16.36	29.2	27.8	1440.74	1901.36	54.9	17995.8	0	0.01	0.04	1882.9	0	3174.01	3174.01	0	19230.25	19230.25	17.36	31	30	1694.62	4779.27	45.68	18003.8	0	0.01	0.04	1897.3	0	2908.06	2908.06	0	18460.85	18460.85	17.76	33.4	32.2	1707.56	4463.57	45.84	18009.2	0	0.03	0.01	2697.94	0	3083.12	3083.12	0	5613.46	5613.46	16.77	31.4	29.6	2428.11	3336.17	38.89	18019	0.01	0.01	0.01	1828.54	0	2348.68	2348.68	0	5024.94	5024.94	16.73	31.4	29.8	1645.69	2616.37	50.21
20000	90-9-1	183	18022.2	0	0.01	0.02	1836.17	0	2583.24	2583.24	0	3804.4	3804.4	16.36	28.8	28.2	1652.56	2705.33	57.2	17985.8	0	0.01	0.01	1801.69	0	2013.31	2013.31	0	3220.61	3220.61	16.35	28.8	28.4	1621.53	2134.01	58.88	18025.8	0	0.02	0.05	2107.17	0	3753.38	3753.38	0	24055.06	24055.06	17.36	30.8	29.6	1896.46	5783.44	48.76	17995.2	0	0.02	0.05	2121.07	0	3308.9	3308.9	0	22532.64	22532.64	17.79	33.4	32	1908.95	5232.01	49.2	17954.8	0	0.04	0.01	3075.71	0	3513.8	3513.8	0	6231.18	6231.18	16.81	31.4	30	2768.09	3785.62	41.55	17982.6	0.01	0.01	0.01	2028.12	0	2630.7	2630.7	0	5678.99	5678.99	16.71	31.4	29.4	1825.32	2935.63	54.65
20000	90-9-1	210	18009.8	0	0.01	0.02	2033.81	0	2919.24	2919.24	0	4430.72	4430.72	16.36	28.6	27.4	1830.45	3070.4	58.75	17959.4	0	0.01	0.02	2027.11	0	2263.86	2263.86	0	3527.46	3527.46	16.34	28.8	28.6	1824.41	2390.21	60	18001.2	0	0.02	0.05	2324.03	0	4160.12	4160.12	0	28088.97	28088.97	17.4	31.6	30	2091.64	6553.34	50	17980.6	0	0.02	0.05	2333.17	0	3654.58	3654.58	0	27320.06	27320.06	17.72	33.4	31.6	2099.83	6021.88	50.36	18005.8	0	0.05	0.01	3443.93	0	3920.36	3920.36	0	6921.73	6921.73	16.74	31.4	29.2	3099.48	4220.58	42.53	17986.4	0.01	0.01	0.02	2208.11	0	2876.83	2876.83	0	6202.03	6202.03	16.7	31.4	28.8	1987.29	3209.42	56.71
20000	90-9-1	244	17980.8	0	0.01	0.02	2265.96	0	3272.1	3272.1	0	4861.21	4861.21	16.35	29	27.8	2039.36	3431.04	60.83	17993.2	0	0.01	0.02	2341.49	0	2612.74	2612.74	0	3948.06	3948.06	16.34	29	28.2	2107.35	2746.28	61.02	18003.4	0	0.02	0.07	2588.41	0	4967.87	4967.87	0	89765.2	89765.2	17.46	31.4	30.2	2329.56	13450.41	45.78	17961.8	0	0.02	0.06	2592.38	0	4252.18	4252.18	0	37248.15	37248.15	17.75	33.4	30.8	2333.09	7552.38	51.16	18001.6	0	0.05	0.02	3920.88	0	4467.52	4467.52	0	7755.96	7755.96	16.75	31.4	29.8	3528.72	4796.48	43.57	17985.8	0.01	0.01	0.02	2455.1	0	3220.1	3220.1	0	6815.98	6815.98	16.71	31.4	29.4	2209.57	3579.77	58.92
200000	90-9-1	1	147768	0	0	0	2587.2	0	3208.68	3208.68	0	3778.31	3778.31	21.6	38.8	40.2	2328.17	3265.8	0.29	148182.4	0	0	0	2575.78	0	2853.92	2853.92	0	3368.47	3368.47	21.61	38.8	40.2	2317.89	2905.48	0.3	143118	0	0	0	3091.53	0	4263.48	4263.48	0	5018.69	5018.69	22.79	40.8	42	2781.9	4339.2	0.25	143156.4	0	0	0	3115.98	0	3921.41	3921.41	0	4544.31	4544.31	23.3	42.2	44	2804.72	3983.52	0.25	138098.8	0	0	0	3911.88	0	4470.98	4470.98	0	5290.16	5290.16	22	40.2	42	3520.97	4552.71	0.21	142993.8	0	0	0	3146.9	0	3831.1	3831.1	0	4836.15	4836.15	22.04	40.2	42	2832.59	3931.33	0.25
200000	90-9-1	30	179903.2	0	0	0	2470.33	0	2998.41	2998.41	0	4219.27	4219.27	21.58	39.2	39.4	2223.29	3120.52	9.13	179898.4	0	0	0	2460.25	0	2625.7	2625.7	0	3601.25	3601.25	21.58	38.2	38.8	2214.21	2723.26	9.25	180065	0	0	0	3007.77	0	3632.54	3632.54	0	8475.91	8475.91	22.59	40	41.4	2706.99	4116.92	7.73	180040.4	0	0	0	2971.96	0	3476.59	3476.59	0	7865.03	7865.03	23.09	42.2	43.6	2674.76	3915.81	7.83	179898.8	0	0	0	3628.2	0	3869.52	3869.52	0	5746.04	5746.04	22.12	40.2	41	3265.35	4057.31	6.77	180036.6	0	0	0	2849.54	0	3224.68	3224.68	0	5304.97	5304.97	22.09	40.2	41.4	2564.58	3432.82	8.19
