keyspace	worload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeeLength-castle	AvgSeeLength-icdcn	AvgSeeLength-ppop	AvgSeeLength-citrus	AvgSeeLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeeTime-castle	SeeTime-icdcn	SeeTime-ppop	SeeTime-citrus	SeeTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
10000	70-20-10	32	0.01	0.01	0	0	0.12	0.05	0.02	0.03	0.05	0.03	1.09	0.05	0.02	0.06	0.04	0.53	0.6	0.43	1.14	0.51	0.63	0.7	0.55	1.59	0.71	0.8	1.07	0.73	4.97	1.05	33.31	33.02	16.07	31.76	33.28	28.8	28.8	26.4	30.8	28.8	79.8	85.4	27	86	82.4	0.46	0.52	0.36	0.93	0.45	46.82	41.78	54.51	15.64	44.58	21.63	26.06	18.63	48.26	11.37	21.63	76.55	66.54	66.73	70.16	1.05	0.94	1.22	0.35	1
20000	70-20-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.31	0.31	0.3	0.35	0.34	0.34	0.35	0.36	0.41	0.36	0.4	0.38	0.4	0.47	16.13	16.13	17.64	17.17	16.12	31.4	31.4	30.2	33.4	31.4	44.8	44.4	29.2	45	40.8	0.24	0.24	0.24	0.23	0.27	2.34	2.32	2.31	2.37	2.07	0.03	0.09	0.06	0.07	0.04	0.03	45.76	45.16	50.27	58.68	1.13	1.12	1.12	1.14	1
20000	70-20-10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.39	0.38	0.37	0.4	0.46	0.46	0.47	0.53	0.53	0.6	0.75	0.61	0.98	0.79	16.46	16.33	17.61	17.33	16.29	31.4	31.4	30.2	33.4	31.4	56.2	53.8	29.4	56.4	51	0.3	0.31	0.31	0.32	0.33	3.84	3.72	3.84	3.53	3.47	8.2	15.65	7.78	14.06	4.18	8.2	77.45	66.97	72.17	70.57	1.11	1.07	1.11	1.02	1
20000	70-20-10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0.48	0.46	0.55	0.47	0.56	0.58	0.57	0.79	0.62	0.74	0.91	0.75	1.38	0.95	17.25	17.4	17.58	17.64	17.23	31.4	31.4	30.2	33.4	31.4	67.4	68	28.6	60.6	65.4	0.39	0.4	0.39	0.46	0.41	6.48	6.21	6.53	4.65	6.03	14.37	27.64	13.54	34.98	7.35	14.37	78.82	69.4	84.1	73.19	1.07	1.03	1.08	0.77	1
20000	70-20-10	8	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0.01	0	0.52	0.5	0.46	0.68	0.5	0.63	0.6	0.58	0.92	0.65	0.8	0.94	0.75	1.63	0.98	20.02	20.21	17.53	18.83	19.96	31.4	31.4	30.2	33.4	31.4	87	90.8	29	72.6	86.2	0.44	0.42	0.39	0.54	0.43	11.82	12.06	13.05	7.4	11.59	13.81	26.58	13.18	43.26	7.1	13.81	77.16	67.88	79.73	71.67	1.02	1.04	1.13	0.64	1
20000	70-20-10	16	0	0	0	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.56	0.55	0.45	0.83	0.53	0.66	0.65	0.58	1.11	0.71	0.82	1	0.75	2.18	1.02	28.3	27.83	17.5	21.11	28.3	31.4	31.4	30.2	33.4	31.4	116	114.6	29	93.2	116.6	0.48	0.48	0.39	0.65	0.47	22.41	22.27	26.07	11.79	22.05	13.02	24.05	12.29	45.42	6.8	13.02	75.53	66.15	72.8	70.37	1.02	1.01	1.18	0.53	1
20000	70-20-10	32	0.01	0.01	0	0	0.06	0.06	0.01	0.02	0.02	0.01	0.4	0.02	0.01	0.03	0.02	0.62	0.64	0.48	1.12	0.58	0.74	0.74	0.59	1.55	0.78	0.91	1.1	0.77	5.23	1.11	36.86	36.15	17.46	23.72	36.73	31.4	31.4	30.2	33.4	31.4	116.2	115.8	28.8	103.6	115.8	0.55	0.56	0.4	0.91	0.53	40.9	39.64	50.65	15.57	40.66	13.07	22.31	12.47	44.03	6.9	13.07	75.53	65.8	67.16	69.43	1.01	0.97	1.25	0.38	1
100000	70-20-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0.44	0.4	0.42	0.42	0.41	0.46	0.45	0.48	0.5	0.43	0.52	0.47	0.53	0.55	19.56	19.58	21	20.61	19.58	37.8	37.8	36.2	39.8	37.8	34.6	34.4	36.4	37.2	34	0.31	0.37	0.33	0.36	0.35	2.01	1.81	1.91	1.84	1.78	0.02	0.05	0.06	0.08	0.03	0.02	43.39	42.39	47.36	56.57	1.13	1.02	1.07	1.03	1
100000	70-20-10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.49	0.46	0.49	0.48	0.53	0.58	0.57	0.65	0.61	0.73	0.86	0.7	1.12	0.87	19.44	19.45	20.96	20.52	19.46	37.8	37.8	36.2	39.8	37.8	34.2	35	36.2	36.2	34.4	0.39	0.42	0.4	0.44	0.41	3.31	3.08	3.29	2.89	3.05	4.37	6.48	4.18	6.91	2.55	4.37	76.44	65.7	70.7	69.69	1.09	1.01	1.08	0.95	1
100000	70-20-10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0.58	0.54	0.66	0.55	0.63	0.68	0.66	0.89	0.7	0.8	1.02	0.85	1.48	1.02	19.44	19.43	20.92	20.42	19.37	37.8	37.8	36.2	39.8	37.8	35.6	35.6	36.2	36	35	0.46	0.51	0.48	0.57	0.49	5.83	5.32	5.68	4.17	5.38	7.47	11.73	7.34	17.54	4.41	7.47	77.77	68.52	82.16	72.28	1.08	0.99	1.06	0.78	1
100000	70-20-10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0.58	0.55	0.75	0.57	0.65	0.68	0.67	0.99	0.73	0.83	1.02	0.85	1.69	1.04	19.32	19.29	20.87	20.41	19.26	37.8	37.8	36.2	39.8	37.8	44.6	44.8	35.6	39.2	42.2	0.48	0.51	0.48	0.63	0.5	11.41	10.74	11.2	7.08	10.5	6.92	11.72	7.15	24.77	4.21	6.92	76.41	67.28	78.15	71.16	1.09	1.02	1.07	0.67	1
100000	70-20-10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0.58	0.55	0.91	0.59	0.67	0.67	0.67	1.17	0.74	0.84	1.01	0.85	2.16	1.06	19.22	19.22	20.84	20.35	19.31	37.8	37.8	36.2	39.8	37.8	60.2	57.4	35.6	46.4	57.6	0.49	0.5	0.48	0.72	0.52	22.3	21.5	22.64	11.31	20.62	6.2	11.3	6.73	29.83	3.86	6.2	74.9	65.82	71.75	69.39	1.08	1.04	1.1	0.55	1
100000	70-20-10	32	0	0	0	0	0.01	0.01	0	0	0	0	0.31	0	0	0.01	0	0.58	0.59	0.56	1.16	0.62	0.69	0.7	0.69	1.52	0.77	0.86	1.04	0.86	4.98	1.11	19.45	19.39	20.8	20.33	19.4	37.8	37.8	36.2	39.8	37.8	75.2	78.4	35.4	53.6	76	0.51	0.52	0.5	0.95	0.55	43.6	41.87	44.58	15.69	39.26	5.97	11.61	6.86	31.95	3.78	5.97	74.49	65.47	67.65	68.85	1.11	1.07	1.14	0.4	1
200000	70-20-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0.51	0.44	0.49	0.45	0.44	0.55	0.49	0.55	0.53	0.46	0.6	0.51	0.61	0.59	21.08	21.11	22.47	22.14	21.1	40.2	40.2	38.8	42.2	40.2	38.4	38.2	39.4	40.4	38.6	0.34	0.43	0.38	0.43	0.39	1.9	1.58	1.76	1.62	1.68	0.05	0.05	0.24	0.49	0.45	0.05	42.48	42.32	47.65	57.39	1.13	0.94	1.05	0.96	1
200000	70-20-10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0.58	0.51	0.56	0.51	0.56	0.67	0.61	0.73	0.65	0.7	0.95	0.76	1.21	0.9	20.98	21.01	22.42	22.05	21	40.2	40.2	38.8	42.2	40.2	37.4	37.2	39	39.2	37.4	0.4	0.5	0.44	0.51	0.45	3.25	2.69	3.03	2.61	2.89	3.85	4.88	3.6	5.32	2.55	3.85	76.2	65.72	70.65	69.49	1.12	0.93	1.05	0.9	1
200000	70-20-10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0.67	0.59	0.73	0.59	0.66	0.79	0.71	0.94	0.73	0.83	1.12	0.89	1.55	1.06	20.84	20.88	22.36	21.95	20.85	40.2	40.2	38.8	42.2	40.2	37	37	39	39.4	36.8	0.49	0.6	0.53	0.64	0.52	5.65	4.69	5.35	3.93	5.14	6.57	8.86	6.16	13.2	4.13	6.57	77.55	68.45	81.58	72.01	1.1	0.91	1.04	0.76	1
200000	70-20-10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0.65	0.6	0.78	0.61	0.67	0.75	0.72	1.01	0.76	0.84	1.12	0.9	1.72	1.09	20.76	20.79	22.32	21.88	20.8	40.2	40.2	38.8	42.2	40.2	37	36.6	38.4	38.6	36.6	0.5	0.57	0.53	0.68	0.54	11.07	9.71	10.54	7.06	10.02	6.12	8.89	6.02	17.64	3.97	6.12	76.12	67.1	79.29	71.02	1.1	0.97	1.05	0.7	1
200000	70-20-10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.64	0.6	0.91	0.63	0.68	0.75	0.71	1.17	0.77	0.85	1.08	0.89	2.12	1.09	20.62	20.65	22.26	21.75	20.62	40.2	40.2	38.8	42.2	40.2	43.2	44.4	38.6	38.8	41.8	0.51	0.57	0.53	0.76	0.55	21.82	19.75	21.22	11.6	19.66	5.5	8.62	5.7	22.83	3.72	5.5	74.75	65.74	71.91	69.73	1.11	1	1.08	0.59	1
200000	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.6	0.64	0.61	1.13	0.65	0.71	0.75	0.73	1.44	0.81	0.88	1.1	0.92	4.48	1.15	20.58	20.57	22.22	21.76	20.61	40.2	40.2	38.8	42.2	40.2	58.4	55.4	38.2	41.6	56.8	0.53	0.57	0.54	0.95	0.58	42.23	39.29	41.31	16.76	37.9	5.28	8.9	5.77	26.07	3.65	5.28	74.41	65.34	68.5	69.1	1.11	1.04	1.09	0.44	1
1000000	70-20-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.77	0.82	0.88	0.81	0.63	0.79	0.87	0.99	0.89	0.67	0.86	0.89	1.07	0.99	24.62	24.66	25.95	25.72	24.67	47.8	47.8	45.2	49.8	47.8	45.8	45.4	46.8	47.8	45.2	0.52	0.69	0.75	0.83	0.74	1.4	1.13	1.07	0.98	1.05	8.23	5.45	16.11	12.57	16.14	8.23	40.13	34.83	44.86	48.46	1.33	1.08	1.02	0.93	1
1000000	70-20-10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0.87	1	1.08	1	0.79	0.94	1.08	1.26	1.09	0.94	1.23	1.13	1.71	1.29	24.52	24.55	25.89	25.63	24.58	47.8	47.8	45.2	49.8	47.8	45.6	45.4	46.6	47	45.2	0.64	0.8	0.93	1.03	0.92	2.32	1.94	1.75	1.56	1.72	9.83	6.5	15.54	11.88	17.14	9.83	71.67	51.75	59.51	54.57	1.35	1.13	1.02	0.91	1
1000000	70-20-10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.94	1.1	1.23	1.11	0.89	1.03	1.2	1.46	1.23	1.08	1.37	1.3	2.09	1.49	24.44	24.47	25.81	25.55	24.49	47.8	47.8	45.2	49.8	47.8	44.8	44.8	46.2	46.4	45.8	0.73	0.86	1.03	1.15	1.05	4.21	3.62	3.19	2.62	3.11	11.08	7.34	15.52	14.18	18.19	11.08	75.66	61.29	78.3	62.75	1.35	1.16	1.03	0.84	1
1000000	70-20-10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84	0.93	1.13	1.27	1.18	0.93	1.03	1.22	1.5	1.29	1.12	1.37	1.33	2.23	1.56	24.33	24.36	25.73	25.44	24.39	47.8	47.8	45.2	49.8	47.8	44.4	44.6	45.4	47.2	44.8	0.77	0.86	1.06	1.19	1.12	8.09	7.28	6.26	4.94	5.91	11.59	7.33	15.94	16.07	19.12	11.59	74.34	59.38	79.58	60.16	1.37	1.23	1.06	0.84	1
1000000	70-20-10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0.93	1.15	1.33	1.26	0.96	1.02	1.26	1.54	1.36	1.15	1.37	1.35	2.48	1.63	24.21	24.22	25.67	25.33	24.27	47.8	47.8	45.2	49.8	47.8	43.8	43.8	45.6	45.8	44.4	0.8	0.86	1.09	1.23	1.19	15.62	14.62	12.32	9.31	11.19	12.15	7.38	16.44	17.87	20.13	12.15	73.33	58.03	72.7	58.83	1.4	1.31	1.1	0.83	1
1000000	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.91	0.93	1.19	1.46	1.33	1.01	1.02	1.29	1.69	1.45	1.2	1.37	1.39	3.82	1.72	24.1	24.1	25.61	25.25	24.15	47.8	47.8	45.2	49.8	47.8	43.6	42.6	45.8	46	44	0.84	0.86	1.12	1.35	1.27	30.03	29.18	23.91	15.68	21.28	12.57	7.45	16.8	20.65	20.97	12.57	73.09	57.87	71.38	58.48	1.41	1.37	1.12	0.74	1
2000000	70-20-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.98	1.15	1.17	1.14	0.83	1.02	1.21	1.29	1.23	0.89	1.11	1.22	1.38	1.34	26.17	26.2	27.48	27.27	26.22	50.2	50.2	49.4	52.2	50.2	49	48.8	50	51	49	0.72	0.91	1.08	1.11	1.08	1.09	0.9	0.78	0.76	0.77	13.88	11.09	21.76	18.14	20.95	13.88	38.22	30.88	42.03	41.06	1.42	1.17	1.01	0.99	1
2000000	70-20-10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94	1.2	1.35	1.44	1.3	1	1.26	1.42	1.62	1.39	1.14	1.48	1.46	2.08	1.57	26.08	26.11	27.41	27.19	26.13	50.2	50.2	49.4	52.2	50.2	49.2	49	50.4	50.6	49.2	0.87	1.13	1.28	1.4	1.24	1.85	1.49	1.35	1.21	1.37	15.29	11.23	21.16	16.53	21.83	15.29	61.11	41.26	52.35	47.07	1.35	1.09	0.99	0.88	1
2000000	70-20-10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06	1.31	1.45	1.62	1.4	1.12	1.38	1.53	1.84	1.5	1.31	1.69	1.6	2.5	1.73	25.99	26.02	27.33	27.1	26.03	50.2	50.2	49.4	52.2	50.2	48	48.6	49	50	48	0.98	1.24	1.38	1.55	1.34	3.31	2.73	2.52	2.08	2.55	16.6	11.4	20.98	17.77	22.94	16.6	69.11	51.45	75.77	54.55	1.3	1.07	0.99	0.82	1
2000000	70-20-10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15	1.31	1.48	1.67	1.49	1.21	1.39	1.57	1.89	1.59	1.42	1.7	1.63	2.67	1.81	25.89	25.9	27.24	26.98	25.92	50.2	50.2	49.4	52.2	50.2	47.2	47.4	49.4	50	47.8	1.07	1.24	1.42	1.58	1.42	6.18	5.45	4.93	3.97	4.83	17.71	11.32	21.55	19.1	24.26	17.71	67.08	48.75	77.4	51.46	1.28	1.13	1.02	0.82	1
2000000	70-20-10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18	1.31	1.53	1.73	1.59	1.25	1.39	1.62	1.94	1.69	1.44	1.7	1.67	2.9	1.92	25.76	25.78	27.15	26.87	25.81	50.2	50.2	49.4	52.2	50.2	47.2	46.8	49.8	49.4	47.4	1.11	1.24	1.47	1.63	1.53	12.06	10.87	9.61	7.55	9.11	19.06	11.36	22.5	20.58	25.52	19.06	66.19	47.17	74.05	49.84	1.32	1.19	1.05	0.83	1
2000000	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27	1.33	1.58	1.85	1.71	1.34	1.41	1.67	2.06	1.82	1.53	1.72	1.72	3.94	2.05	25.65	25.66	27.08	26.78	25.7	50.2	50.2	49.4	52.2	50.2	47	47	48.8	49.2	47	1.2	1.25	1.52	1.73	1.65	22.59	21.47	18.63	13.42	16.98	20.44	11.46	23.04	22.38	27.05	20.44	66.32	47.8	70.55	49.66	1.33	1.26	1.1	0.79	1
10000	0-50-50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.37	0.38	0.32	0.35	0.43	0.36	0.4	0.31	0.36	0.44	26.24	26.02	14.78	26.75	25.55	28.8	28.8	26.4	30.8	28.8	68.4	67	25.4	70.6	67.6	0.26	0.27	0.21	0.22	0.29	2.16	2.03	2.41	2.18	1.81	0.18	0.63	0.25	0.32	0.19	0.18	58.36	51.63	58.81	67.12	1.19	1.12	1.33	1.2	1
10000	0-50-50	2	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.55	0.6	0.51	0.65	0.62	0.61	0.75	0.53	0.88	0.71	26.98	26.73	14.77	26.61	26.95	28.8	28.8	26.4	30.8	28.8	68.4	69	25.6	71.4	72	0.4	0.46	0.35	0.44	0.43	2.92	2.57	3.21	2.29	2.56	42.52	60.66	32.11	45.03	18.77	42.52	73.92	59.29	69.76	66.78	1.14	1	1.25	0.89	1
10000	0-50-50	4	0.01	0.01	0	0	0.04	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0	0.01	0.01	nan	nan	nan	nan	nan	0.75	0.84	0.7	1.02	0.8	0.83	1.03	0.73	1.37	0.93	28.06	27.72	14.76	27.83	27.71	28.8	28.8	26.4	30.8	28.8	67.8	68.2	26	71	66.6	0.58	0.67	0.53	0.74	0.59	4.48	3.83	4.88	2.97	4.07	62.13	78.42	49.33	68.59	30.74	62.13	77.1	64.17	78.31	71.02	1.1	0.94	1.2	0.73	1
10000	0-50-50	8	0.01	0.02	0	0	0.13	0.02	0.02	0.03	0.04	0.03	0.04	0.03	0.01	0.03	0.02	nan	nan	nan	nan	nan	0.78	0.86	0.71	1.2	0.82	0.87	1.07	0.74	1.67	0.95	28.96	28.74	14.73	28.89	28.8	28.8	28.8	26.4	30.8	28.8	70	69.6	25.2	71.4	69	0.61	0.7	0.53	0.86	0.6	8.58	7.48	9.66	4.88	7.99	53.33	60.58	47.05	65.08	29.86	53.33	71.69	59.66	74.62	66.88	1.07	0.94	1.21	0.61	1
10000	0-50-50	16	0.03	0.04	0	0	0.41	0.05	0.05	0.07	0.09	0.06	0.09	0.06	0.02	0.06	0.04	nan	nan	nan	nan	nan	0.77	0.87	0.7	1.5	0.82	0.86	1.07	0.73	2.35	0.95	29.42	29.33	14.7	29.25	29.51	28.8	28.8	26.4	30.8	28.8	68.2	68.8	25.4	71.2	66.4	0.6	0.7	0.52	1.08	0.61	17.39	14.84	19.68	7.25	15.95	43.46	45.54	41.99	56.11	27.55	43.46	67.52	55.68	65.75	63.36	1.09	0.93	1.23	0.45	1
10000	0-50-50	32	0.08	0.07	0	0	0.93	0.17	0.09	0.14	0.2	0.12	0.88	0.13	0.03	0.14	0.09	nan	nan	nan	nan	nan	0.8	0.96	0.77	2.16	0.91	0.91	1.22	0.77	4.56	1.04	29.69	29.56	14.69	29.22	29.88	28.8	28.8	26.4	30.8	28.8	73	70	25.8	69.4	69.4	0.63	0.77	0.56	1.53	0.66	33.33	26.76	36.53	8.58	29.28	38.36	38.64	41.25	45.92	26.82	38.36	68	55.81	62.24	62.6	1.14	0.91	1.25	0.29	1
20000	0-50-50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.36	0.37	0.36	0.37	0.45	0.37	0.4	0.35	0.39	0.46	20.07	19.84	16.19	20.38	18.78	31.4	31.4	30.2	33.4	31.4	79.2	79.2	28.4	80.8	74	0.27	0.26	0.24	0.25	0.31	2.13	2.07	2.18	2.08	1.76	0.09	0.26	0.17	0.2	0.11	0.09	51.71	50.6	56.24	63.1	1.21	1.18	1.24	1.18	1
20000	0-50-50	2	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.57	0.59	0.55	0.67	0.64	0.64	0.74	0.57	0.91	0.73	23.04	21.92	16.17	21.16	21.38	31.4	31.4	30.2	33.4	31.4	92	88.8	28	86.4	86	0.43	0.44	0.39	0.47	0.45	2.84	2.62	3.02	2.23	2.49	22.79	40.53	20.29	32.68	11.37	22.79	72.52	58.48	68.16	65.24	1.14	1.05	1.21	0.9	1
20000	0-50-50	4	0	0	0	0	0.02	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0	nan	nan	nan	nan	nan	0.8	0.85	0.74	1.03	0.86	0.88	1.05	0.76	1.38	0.99	28.04	26.64	16.15	23.76	27.05	31.4	31.4	30.2	33.4	31.4	95.4	95.8	28	95.2	98.4	0.63	0.69	0.56	0.75	0.64	4.25	3.79	4.68	2.95	3.86	37.17	61.61	32.51	54.59	18.81	37.17	76.21	63.47	77.21	69.74	1.1	0.98	1.21	0.76	1
20000	0-50-50	8	0.01	0.01	0	0	0.06	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0	0.02	0.01	nan	nan	nan	nan	nan	0.83	0.91	0.75	1.2	0.9	0.92	1.11	0.78	1.67	1.02	33.06	32.89	16.13	30.56	32.87	31.4	31.4	30.2	33.4	31.4	91	94.4	27.8	96.8	94.2	0.67	0.74	0.57	0.88	0.68	8.14	7.19	9.24	4.92	7.42	36.01	53.9	31.85	57.03	18.61	36.01	71.17	59.47	73.94	66.67	1.1	0.97	1.25	0.66	1
20000	0-50-50	16	0.01	0.02	0	0	0.21	0.02	0.02	0.03	0.05	0.03	0.04	0.03	0.01	0.03	0.02	nan	nan	nan	nan	nan	0.84	0.94	0.74	1.49	0.91	0.93	1.13	0.77	2.34	1.04	36.49	35.86	16.09	32.98	36.28	31.4	31.4	30.2	33.4	31.4	95.6	95.8	28.2	96.2	94.6	0.68	0.76	0.56	1.1	0.7	16.19	14.03	18.67	7.34	14.6	32.95	43.52	29.86	52.63	17.79	32.95	66.94	55.46	65.93	63.38	1.11	0.96	1.28	0.5	1
20000	0-50-50	32	0.04	0.03	0	0	0.52	0.07	0.04	0.07	0.1	0.06	0.45	0.06	0.02	0.07	0.04	nan	nan	nan	nan	nan	0.89	1.02	0.79	2.14	1	0.98	1.25	0.8	4.52	1.13	37.94	38.02	16.09	34.61	38.03	31.4	31.4	30.2	33.4	31.4	98.2	98.6	27.6	94.6	96.6	0.71	0.83	0.59	1.55	0.75	30.8	25.79	35.62	8.66	27.1	32.2	37.97	30.32	44.42	18.11	32.2	67.3	55.26	62.42	62.35	1.14	0.95	1.31	0.32	1
100000	0-50-50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.43	0.45	0.45	0.47	0.53	0.44	0.48	0.44	0.49	0.53	18.83	18.84	19.55	19.34	18.85	37.8	37.8	36.2	39.8	37.8	38.6	38.2	35.2	40	37	0.33	0.35	0.33	0.35	0.38	1.88	1.75	1.83	1.71	1.55	0.05	0.11	0.14	0.14	0.08	0.05	48.95	47.9	53.25	61.27	1.21	1.13	1.18	1.1	1
100000	0-50-50	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.61	0.66	0.64	0.77	0.71	0.69	0.8	0.66	1.02	0.8	18.85	18.85	19.52	19.34	18.85	37.8	37.8	36.2	39.8	37.8	46	44.4	34.4	41.8	42	0.47	0.51	0.48	0.56	0.52	2.65	2.39	2.65	2	2.28	10.53	18.07	10.86	18.29	6.39	10.53	70.86	57.13	66.28	63.73	1.16	1.05	1.16	0.88	1
100000	0-50-50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.81	0.88	0.83	1.11	0.9	0.9	1.07	0.86	1.46	1.03	18.86	18.89	19.5	19.39	18.8	37.8	37.8	36.2	39.8	37.8	55.8	50.2	34.6	47.8	51.4	0.65	0.71	0.66	0.83	0.68	4.15	3.7	4.21	2.78	3.7	17.09	30.18	17.4	33.06	10.34	17.09	74.52	62.24	75.29	68.08	1.12	1	1.14	0.75	1
100000	0-50-50	8	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.83	0.89	0.84	1.2	0.92	0.93	1.08	0.87	1.66	1.05	19.06	18.94	19.41	19.4	18.99	37.8	37.8	36.2	39.8	37.8	72.6	67.4	34.6	60.8	68.8	0.67	0.72	0.66	0.9	0.71	8.12	7.31	8.32	4.98	7.26	16.03	29.97	16.99	37.89	9.85	16.03	71.05	59.48	73.04	65.55	1.12	1.01	1.15	0.69	1
100000	0-50-50	16	0	0	0	0	0.02	0	0	0.01	0.01	0.01	0.01	0.01	0	0.01	0	nan	nan	nan	nan	nan	0.85	0.88	0.83	1.43	0.94	0.94	1.07	0.85	2.23	1.07	20.09	19.82	19.41	19.53	19.81	37.8	37.8	36.2	39.8	37.8	100.2	93.6	34.4	71.6	92	0.68	0.71	0.65	1.08	0.72	16.08	14.84	16.96	7.76	14.29	14.48	28.21	15.81	39.82	9.02	14.48	67.26	56.35	65.92	62.81	1.13	1.04	1.19	0.54	1
100000	0-50-50	32	0.02	0.01	0	0	0.05	0.03	0.01	0.01	0.02	0.01	0.14	0.01	0	0.01	0.01	nan	nan	nan	nan	nan	0.91	0.95	0.9	2.11	1.03	1	1.16	0.9	4.63	1.16	23.1	22.61	19.38	19.58	22.26	37.8	37.8	36.2	39.8	37.8	127	123.6	34.6	76.2	126.4	0.74	0.77	0.69	1.55	0.78	30.16	27.66	31.91	8.6	26.35	14.41	28.69	16.13	37.49	9.07	14.41	66.66	55.79	62.04	62.14	1.14	1.05	1.21	0.33	1
200000	0-50-50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	0.46	0.51	0.49	0.54	0.56	0.46	0.54	0.48	0.55	0.57	20.33	20.35	20.97	20.86	20.37	40.2	40.2	38.8	42.2	40.2	35.8	36.8	37.8	38.2	35.8	0.36	0.4	0.38	0.41	0.42	1.78	1.57	1.68	1.54	1.47	0.07	0.1	0.36	0.73	0.36	0.07	47.91	47.36	52.24	61.75	1.21	1.07	1.14	1.05	1
