keyspace	workload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeekLength-castle	AvgSeekLength-icdcn	AvgSeekLength-ppop	AvgSeekLength-citrus	AvgSeekLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeekTime-castle	SeekTime-icdcn	SeekTime-ppop	SeekTime-citrus	SeekTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley	2ndBest	castle%	icdcn%	icdcnVsPpop
8388608	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83	2.32	2.57	2.81	2.6	1.88	2.35	2.63	2.97	2.67	2.12	2.72	2.7	47.42	3.14	29.64	29.66	31.42	30.74	29.68	56.8	56.8	55.2	58.8	56.8	56.8	56.8	59	60.6	58	1.76	2.24	2.5	2.68	2.52	16.45	13.19	11.93	9.22	11.76	25.01	20.99	31	29.99	33.76	33.27	31.17	29.83	80.1	32.09	1.4	1.12	1.01	0.78	1	11.93	37.89	10.56	1.11
16777216	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31	2.65	3	3.28	3.17	2.36	2.69	3.08	3.49	3.24	2.59	3.03	3.07	31.41	3.71	31.35	31.36	33.02	32.43	31.36	60.2	60.2	58.8	62.2	60.2	61.4	61	62.8	63.8	61.8	2.24	2.58	2.93	3.16	3.1	13.21	11.58	10.25	8.42	9.71	29.26	25.81	33.82	35.57	37.74	29	30.01	29.99	68.94	33.24	1.36	1.19	1.06	0.87	1	10.25	28.88	12.98	1.13
8192	70-20-10	32	0.01	0.02	0	0	0.14	0.05	0.03	0.04	0.06	0.04	0.6	0.06	0.02	0.07	0.04	0.51	0.59	0.42	1.15	0.48	0.61	0.68	0.54	1.63	0.68	0.78	1.06	0.73	5.08	1.01	31.13	31.35	15.65	30.75	31.38	28.4	28.4	25.6	30.4	28.4	75.6	78	25.6	77.4	75.8	0.44	0.51	0.35	0.94	0.43	48.71	42.33	55.46	15.4	46.62	23.86	26.52	21.01	49.27	13.33	81.22	76.69	66.82	66.92	70.49	1.04	0.91	1.19	0.33	1	55.46	-12.17	-23.67	0.76
16384	70-20-10	32	0.01	0.01	0	0	0.07	0.06	0.01	0.02	0.03	0.02	0.62	0.03	0.01	0.03	0.02	0.59	0.63	0.46	1.14	0.57	0.69	0.73	0.58	1.57	0.76	0.86	1.11	0.76	4.98	1.1	37.27	36.44	17.06	28.11	36.65	30.2	30.2	29	32.2	30.2	107.2	108.2	28	107.2	105.4	0.52	0.56	0.39	0.94	0.51	43.2	39.82	51.62	15.59	41.18	15.24	23.75	13.81	45.19	7.85	79.98	75.82	66.04	66.2	69.59	1.05	0.97	1.25	0.38	1	51.62	-16.31	-22.86	0.77
32768	70-20-10	32	0	0	0	0	0.02	0.03	0.01	0.01	0.01	0.01	0.32	0.02	0	0.02	0.01	0.58	0.58	0.5	1.13	0.58	0.68	0.68	0.62	1.55	0.75	0.85	1.04	0.8	5.38	1.08	26.89	26.24	18.5	19.53	26.03	33.4	33.4	31.6	35.4	33.4	131.6	131.2	30.8	83.6	125.6	0.51	0.51	0.43	0.92	0.52	43.8	42.86	48.64	15.35	41.06	9.27	18.37	9.91	39.89	5.28	79.52	74.85	65.55	65.92	69.32	1.07	1.04	1.18	0.37	1	48.64	-9.95	-11.88	0.88
65536	70-20-10	32	0	0	0	0	0.01	0.01	0	0	0.01	0	0.35	0.01	0	0.01	0	0.57	0.57	0.53	1.15	0.6	0.67	0.66	0.66	1.55	0.76	0.85	1.01	0.84	6.37	1.09	19.65	19.65	19.94	19.55	19.31	36.2	36.2	34.4	38.2	36.2	94.8	93.8	33.8	62.8	91.2	0.5	0.49	0.47	0.94	0.53	44.18	43.6	46.16	14.65	40.24	6.69	13.71	7.77	34.68	4.15	79.77	74.51	65.54	65.72	68.92	1.1	1.08	1.15	0.36	1	46.16	-4.29	-5.55	0.94
131072	70-20-10	32	0	0	0	0	0	0.01	0	0	0	0	0.25	0	0	0	0	0.6	0.61	0.58	1.16	0.62	0.7	0.71	0.7	1.52	0.79	0.87	1.06	0.88	4.75	1.12	19.79	19.79	21.35	20.82	19.77	38.6	38.6	37.6	40.6	38.6	68.8	69	37	46.2	67.6	0.52	0.54	0.51	0.96	0.56	42.84	41.36	43.25	15.83	39.02	5.62	10.46	6.34	30.08	3.62	79.93	74.42	65.49	68.81	69	1.1	1.06	1.11	0.41	1	43.25	-0.95	-4.37	0.96
262144	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.62	0.66	0.64	1.12	0.68	0.72	0.77	0.76	1.41	0.83	0.9	1.11	0.94	5.1	1.17	21.11	21.17	22.79	22.31	21.17	41.2	41.2	39.6	43.2	41.2	51.4	49	39.4	40.4	51	0.55	0.59	0.57	0.96	0.61	41.68	38.55	39.78	16.58	36.76	5.11	8	5.76	23.63	4.44	80.09	74.34	65.61	67.18	69.42	1.13	1.05	1.08	0.45	1	39.78	4.78	-3.09	0.97
524288	70-20-10	32	0	0	0	0	0	0.01	0	0	0	0	0.06	0	0	0	0	0.67	0.74	0.85	1.18	0.93	0.77	0.84	0.96	1.43	1.07	0.95	1.18	1.12	3.65	1.38	22.62	22.66	24.25	23.81	22.71	44.6	44.6	42.4	46.6	44.6	41	41.2	42.4	42.8	41	0.6	0.67	0.77	1.07	0.87	39.01	35.11	31.85	17.79	28.66	5.6	6.11	9.74	20.14	12.03	80.32	74.1	64.92	71.65	66.6	1.36	1.23	1.11	0.62	1	31.85	22.48	10.24	1.10
1048576	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.95	0.95	1.22	1.48	1.36	1.05	1.05	1.32	1.71	1.47	1.23	1.39	1.41	3.82	1.75	24.21	24.21	25.71	25.35	24.26	48.2	48.2	45.4	50.2	48.2	44.4	43.8	46	47	43.8	0.88	0.88	1.15	1.38	1.29	29	28.65	23.4	15.56	20.82	13.14	7.66	17.27	20.64	21.36	78.09	72.88	57.25	69.68	57.9	1.39	1.38	1.12	0.75	1	23.4	23.93	22.44	1.22
