metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	65.1	46.7	10.49	10.5	175.15	74.69
seek-time	12319.52	10928.29	3173.34	3609.79	34823.41	25466.54
modify-time	8637.71	6882.37	438910.34	440673.66	10873.42	13161.05
seek-length	18.09	17.01	13.65	12.13	30	12.04
throughput	11.66	15.22	0.61	0.59	3.48	5.91
