k t
1024												0.46
2048												0.53
4096												0.62
8192												0.72
16384												0.76
32768												0.75
65536												0.78
131072												0.65
262144												0.82
524288												0.74
1048576												0.54
2097152												0.57
4194304												0.39
8388608												0.88
16777216												0.78
1024												0.31
2048												0.32
4096												0.34
8192												0.38
16384												0.43
32768												0.46
65536												0.44
131072												0.43
262144												0.46
524288												0.66
1048576												0.81
2097152												0.85
4194304												0.85
8388608												0.82
16777216												0.82
1024												0.30
2048												0.28
4096												0.28
8192												0.28
16384												0.30
32768												0.33
65536												0.33
131072												0.31
262144												0.31
524288												0.35
1048576												0.44
2097152												0.55
4194304												0.65
8388608												0.66
16777216												0.71

