1		0.98
2		0.99
30		1.22
61		1.23
90		1.18
122		1.15
150		1.11
183		1.08
210		1.06
244		1.04
1		0.97
2		1.00
30		1.20
61		1.23
90		1.19
122		1.16
150		1.13
183		1.09
210		1.07
244		1.05
1		0.96
2		1.00
30		1.10
61		1.13
90		1.12
122		1.12
150		1.10
183		1.09
210		1.09
244		1.06
1		1.00
2		1.00
30		1.07
61		1.10
90		1.09
122		1.08
150		1.07
183		1.06
210		1.05
244		1.04
1		0.97
2		0.98
30		1.09
61		1.07
90		1.04
122		1.03
150		1.02
183		1.02
210		1.01
244		1.01
1		0.97
2		0.99
30		1.09
61		1.10
90		1.06
122		1.05
150		1.04
183		1.03
210		1.02
244		1.02
1		0.95
2		0.98
30		1.07
61		1.09
90		1.06
122		1.05
150		1.03
183		1.03
210		1.02
244		1.02
1		1.00
2		1.00
30		1.05
61		1.06
90		1.05
122		1.04
150		1.03
183		1.03
210		1.02
244		1.01
1		0.90
2		0.91
30		0.99
61		1.00
90		0.99
122		0.99
150		1.00
183		0.99
210		1.00
244		0.99
1		0.91
2		0.89
30		1.00
61		1.00
90		0.99
122		0.98
150		0.98
183		0.98
210		0.98
244		0.95
1		0.95
2		0.95
30		1.00
61		1.00
90		0.99
122		0.99
150		0.98
183		0.98
210		0.99
244		0.98
1		0.93
2		0.93
30		0.99
61		1.00
90		1.00
122		0.99
150		0.99
183		0.99
210		0.99
244		0.99
