1			1.02
2			1.03
30			1.05
61			1.06
90			1.08
122			1.08
150			1.09
183			1.08
210			1.08
244			1.07
1			1.02
2			1.04
30			1.04
61			1.03
90			1.05
122			1.05
150			1.06
183			1.04
210			1.05
244			1.04
1			1.04
2			1.02
30			1.03
61			1.02
90			1.04
122			1.04
150			1.05
183			1.04
210			1.05
244			1.04
1			1.06
2			1.03
30			1.03
61			1.02
90			1.03
122			1.03
150			1.04
183			1.03
210			1.04
244			1.03
1			1.02
2			1.03
30			1.05
61			1.04
90			1.04
122			1.03
150			1.03
183			1.02
210			1.03
244			1.02
1			1.02
2			1.01
30			1.02
61			1.01
90			1.02
122			1.01
150			1.02
183			1.01
210			1.01
244			1.01
1			1.00
2			1.02
30			1.02
61			1.01
90			1.02
122			1.01
150			1.02
183			1.01
210			1.02
244			1.01
1			1.00
2			1.03
30			1.02
61			1.01
90			1.02
122			1.01
150			1.02
183			1.01
210			1.02
244			1.01
1			0.98
2			0.95
30			0.98
61			0.98
90			1.00
122			0.98
150			1.02
183			1.02
210			1.01
244			1.03
1			0.97
2			1.00
30			0.99
61			0.98
90			0.98
122			0.98
150			0.99
183			0.97
210			0.97
244			0.96
1			0.96
2			0.98
30			0.98
61			0.98
90			0.99
122			0.97
150			0.99
183			0.97
210			0.98
244			0.97
1			0.94
2			0.97
30			0.99
61			0.98
90			0.99
122			0.97
150			0.99
183			0.97
210			0.97
244			0.98
