1	1.02
2	0.99
30	0.99
61	1.02
90	1.05
122	1.00
150	0.99
183	1.02
210	1.02
244	1.03
1	1.02
2	1.05
30	1.00
61	1.01
90	0.99
122	1.00
150	1.00
183	1.01
210	1.00
244	1.02
1	1.04
2	1.00
30	1.00
61	1.01
90	0.99
122	1.00
150	0.99
183	1.01
210	1.00
244	1.01
1	1.06
2	1.00
30	1.00
61	1.01
90	0.99
122	1.00
150	0.99
183	1.00
210	0.99
244	1.00
1	0.98
2	0.98
30	0.99
61	0.99
90	0.98
122	0.99
150	0.99
183	1.00
210	1.00
244	1.01
1	1.00
2	0.99
30	0.99
61	0.97
90	0.99
122	0.97
150	1.00
183	1.02
210	1.00
244	0.99
1	1.00
2	0.98
30	0.99
61	0.99
90	0.98
122	0.99
150	0.98
183	0.99
210	0.99
244	1.00
1	1.00
2	1.00
30	0.99
61	1.00
90	0.98
122	0.99
150	0.98
183	0.99
210	0.99
244	1.00
1	0.94
2	0.93
30	0.94
61	0.97
90	0.96
122	0.97
150	0.97
183	0.98
210	0.98
244	0.98
1	0.93
2	0.94
30	0.95
61	1.02
90	0.95
122	0.96
150	0.99
183	0.97
210	0.97
244	0.97
1	0.96
2	0.96
30	0.96
61	0.97
90	0.96
122	0.96
150	0.96
183	0.97
210	0.96
244	0.96
1	0.94
2	0.97
30	0.97
61	0.97
90	0.96
122	0.97
150	0.96
183	0.97
210	0.96
244	0.97
