metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	0.6	0.44625	0.22125	0.2225	2.54125	0.8925
seek-time	5.56688	6.69593	2.835	3.11124	8.95492	11.04967
modify-time	4.88699	5.27247	11.546596	11.4707885	7.34005	7.18956
seek-length	13.46	12.54	8.61	8.3	15.1166666667	11.46
throughput	72.74	68.82	7.1	6.96	30.94	34.56
