metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	2.99625	2.285	0.8525	0.865	11.44	4.99875
seek-time	10.31868	13.1662	4.28937	5.02759	23.89819	20.55496
modify-time	5.55174	5.78114	14.0192	14.1521825	8.92599	10.00148
seek-length	18.1533333333	13.4033333333	8.6666666667	7.9433333333	28.16	12.4633333333
latency-impact	11.8613875	9.3399375	1.29835	1.346825	20.07705	13.394875
throughput	32	36.26	1.84	1.8	10.28	15.42
