metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	1.5775	1.09625	0.34125	0.34375	5.73125	2.1625
seek-time	5.27096	4.9646	1.65309	1.7672	11.70061	11.87772
modify-time	5.95092	5.56282	18.135934	18.287523	9.58095	10.63062
seek-length	4.75	4.5466666667	4.5766666667	4.4533333333	6.0866666667	4.1933333333
latency-impact	12.1126375	10.672375	1.386125	1.2341	21.607875	17.55935
throughput	64.22	71.54	4.74	4.62	22.72	29.24
