metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	8.1375	5.8375	1.31125	1.3125	21.89375	9.33625
seek-time	12.31952	10.92829	3.17334	3.60979	34.82341	25.46654
modify-time	8.63771	6.88237	21.945517	22.033683	10.87342	13.16105
seek-length	6.03	5.67	4.55	4.0433333333	10	4.0133333333
throughput	23.32	30.44	1.22	1.18	6.96	11.82
