metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	0.04	0.03125	0.0375	0.03875	0.165	0.05625
seek-time	3.52528	4.44336	2.50205	2.72879	4.24983	7.06276
modify-time	4.01302	4.45536	3.985408	3.9571325	4.76659	4.85315
seek-length	10.3666666667	10.0166666667	8.83	8.7566666667	10.4266666667	9.5166666667
latency-impact	4.27295	4.1479875	2.992725	3.0208875	4.25435	5.177775
throughput	103.36	96.6	43.76	42.24	90.18	59.02
