metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	0.1275	0.0975	0.06	0.0625	0.76375	0.235
seek-time	2.6659	2.62267	1.16215	1.20575	3.71254	5.59164
modify-time	4.12582	4.20703	7.125757	7.1194445	5.37343	5.48754
seek-length	4.84	4.7833333333	4.6933333333	4.6766666667	5.06	4.71
latency-impact	6.7320875	6.4546125	2.2205875	2.1871625	9.5621	11.1092
throughput	126.54	128.18	32.36	31.78	80.42	63.84
