1							1.09
2							1.10
30							1.22
61							1.16
90							1.12
122							1.11
150							1.13
183							1.17
210							1.20
244							1.23
1							1.07
2							1.08
30							1.21
61							1.25
90							1.15
122							1.09
150							1.07
183							1.13
210							1.05
244							1.12
1							1.04
2							1.04
30							1.07
61							1.08
90							1.17
122							1.12
150							1.06
183							1.16
210							1.08
244							0.97
1							1.04
2							1.04
30							1.07
61							1.22
90							1.05
122							1.01
150							1.18
183							1.06
210							1.09
244							1.04
1							1.08
2							1.06
30							1.12
61							1.43
90							1.57
122							1.63
150							1.68
183							1.73
210							1.76
244							1.81
1							1.05
2							1.07
30							1.12
61							1.19
90							1.40
122							1.52
150							1.58
183							1.63
210							1.65
244							1.70
1							1.03
2							1.05
30							1.09
61							1.09
90							1.17
122							1.37
150							1.42
183							1.55
210							1.53
244							1.58
1							1.02
2							1.03
30							1.06
61							1.14
90							1.07
122							1.11
150							1.26
183							1.40
210							1.45
244							1.48
1							0.86
2							0.88
30							1.48
61							1.89
90							1.95
122							1.97
150							2.02
183							2.06
210							2.10
244							2.13
1							0.88
2							0.89
30							1.13
61							1.76
90							1.85
122							1.91
150							1.96
183							2.01
210							2.03
244							2.05
1							0.92
2							0.92
30							1.04
61							1.68
90							1.73
122							1.83
150							1.91
183							1.98
210							1.99
244							2.01
1							0.94
2							0.93
30							1.00
61							1.41
90							1.63
122							1.72
150							1.80
183							1.88
210							1.92
244							1.94
