1			1.05
2			1.05
30			1.12
61			1.09
90			1.07
122			1.06
150			1.07
183			1.09
210			1.10
244			1.12
1			1.05
2			1.04
30			1.11
61			1.14
90			1.09
122			1.05
150			1.05
183			1.07
210			1.04
244			1.07
1			1.03
2			1.03
30			1.04
61			1.05
90			1.10
122			1.07
150			1.04
183			1.10
210			1.06
244			0.99
1			1.03
2			1.03
30			1.05
61			1.14
90			1.04
122			1.01
150			1.12
183			1.05
210			1.06
244			1.03
1			1.04
2			1.01
30			1.05
61			1.23
90			1.28
122			1.30
150			1.32
183			1.34
210			1.35
244			1.37
1			1.02
2			1.04
30			1.07
61			1.10
90			1.22
122			1.27
150			1.29
183			1.30
210			1.32
244			1.33
1			1.03
2			1.03
30			1.05
61			1.06
90			1.09
122			1.20
150			1.24
183			1.28
210			1.28
244			1.30
1			1.00
2			1.02
30			1.04
61			1.09
90			1.05
122			1.06
150			1.15
183			1.23
210			1.25
244			1.26
1			0.96
2			0.95
30			1.21
61			1.41
90			1.42
122			1.42
150			1.43
183			1.45
210			1.47
244			1.49
1			0.95
2			0.96
30			1.06
61			1.36
90			1.38
122			1.41
150			1.42
183			1.42
210			1.42
244			1.43
1			0.97
2			0.97
30			1.02
61			1.33
90			1.32
122			1.36
150			1.40
183			1.41
210			1.41
244			1.41
1			0.96
2			0.94
30			1.00
61			1.22
90			1.29
122			1.32
150			1.35
183			1.38
210			1.39
244			1.38
