k	t
1		3.56
2		6.66
4		12.51
8		24.13
16		46.9
32		90.04
1		1.86
2		3.21
4		5.96
8		11.37
16		21.76
32		41.24
1		0.57
2		1.09
4		2.28
8		4.41
16		8.07
32		15
1		3.08
2		4.78
4		7.97
8		15.45
16		30.24
32		55.25
1		1.85
2		2.95
4		5.23
8		10.11
16		19.5
32		36.49
1		0.57
2		1.09
4		2.27
8		4.43
16		8.23
32		15.55
1		2.46
2		3.18
4		4.86
8		9.44
16		18.72
32		33.25
1		1.68
2		2.47
4		4.1
8		7.98
16		15.74
32		29.6
1		0.59
2		1.1
4		2.17
8		4.16
16		7.82
32		14.61


