keyspace	workload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeekLength-castle	AvgSeekLength-icdcn	AvgSeekLength-ppop	AvgSeekLength-citrus	AvgSeekLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeekTime-castle	SeekTime-icdcn	SeekTime-ppop	SeekTime-citrus	SeekTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
8388608	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94	2.14	2.33	2.69	2.58	2.02	2.21	2.44	3.01	2.69	2.24	2.51	2.44	317.52	3	29.82	29.81	31.1	30.9	29.78	56.4	56.4	55.2	58.4	56.4	58.4	58.4	60	60	58.2	1.86	2.06	2.26	2.57	2.51	15.54	14.15	13.06	5.37	11.82	24.2	24.07	28.66	33.09	32.21	41.88	40.16	37.92	71.15	47.63	1.31	1.20	1.10	0.45	1.00
16777216	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35	2.42	2.57	3.19	3.15	2.43	2.49	2.71	3.52	3.27	2.57	2.7	2.69	337.11	3.51	31.16	31.16	32.06	32.34	31.11	59.7	59.7	58.3	61.7	59.7	61.8	61.7	61.2	62.9	61.2	2.28	2.34	2.51	3.06	3.07	12.97	12.66	11.89	4.94	9.78	28.24	27.97	30.83	36.59	35.81	39.66	40.04	39.08	63.41	53.37	1.33	1.29	1.22	0.51	1.00
8192	70-20-10	32	0.03	0.02	0	0	0.12	0.15	0.03	0.04	0.06	0.04	5.85	0.07	0.02	0.07	0.05	0.48	0.53	0.43	1.06	0.46	0.58	0.64	0.56	1.53	0.66	0.78	1.08	0.73	4.87	1.01	24.51	23.5	15.91	16.89	24.1	28.1	28.1	26	30.1	28.1	76.3	74.8	26.3	55.5	78.7	0.4	0.45	0.35	0.86	0.4	50.51	45.1	54.51	16.19	47.42	24.19	26.85	22.22	48.66	13.44	81.13	76.63	67.08	68.44	70.36	1.07	0.95	1.15	0.34	1.00
16384	70-20-10	32	0.06	0.01	0	0	0.04	0.35	0.02	0.02	0.03	0.02	5.86	0.03	0.01	0.04	0.02	0.47	0.49	0.46	1.07	0.49	0.58	0.6	0.59	1.53	0.67	0.76	0.99	0.77	5.51	1.01	17.28	16.99	17.3	16.95	17.02	30.5	30.5	29	32.5	30.5	64.5	62.4	28.8	41.7	62.4	0.4	0.42	0.39	0.87	0.41	51.18	48.1	51.39	15.64	46.2	16.29	23.99	14.99	44.8	8.26	80.13	75.76	66.16	68.27	69.69	1.11	1.04	1.11	0.34	1.00
32768	70-20-10	32	0.01	0	0	0	0.02	0.08	0.01	0.01	0.01	0.01	3.46	0.02	0	0.02	0.01	0.5	0.52	0.49	1.13	0.52	0.61	0.62	0.62	1.58	0.7	0.79	0.99	0.8	6.82	1.05	17.29	17.25	18.75	18.37	17.27	33.9	33.9	31.7	35.9	33.9	48.6	46.5	31.3	33.4	45.7	0.42	0.44	0.42	0.92	0.45	48.91	46.63	49.01	14.29	44.1	10.79	18.45	10.8	39.85	5.99	79.86	74.91	65.74	69.06	69.34	1.11	1.06	1.11	0.32	1.00
65536	70-20-10	32	0.01	0	0	0	0.01	0.07	0	0	0.01	0	2.57	0.01	0	0.01	0.01	0.53	0.57	0.54	1.15	0.55	0.64	0.67	0.67	1.56	0.73	0.82	1.04	0.84	8.19	1.08	18.7	18.62	20.22	19.86	18.61	36.8	36.8	34.7	38.8	36.8	36.5	35.9	34.4	34.4	35.6	0.46	0.49	0.46	0.94	0.48	46.33	43.4	46.13	13.53	42.29	8.42	13.68	8.41	34.35	4.94	79.98	74.56	65.6	68.85	69.13	1.10	1.03	1.09	0.32	1.00
131072	70-20-10	32	0	0	0	0	0.01	0.03	0	0	0	0	1.17	0	0	0	0	0.56	0.63	0.57	1.15	0.58	0.66	0.74	0.7	1.51	0.77	0.84	1.1	0.87	7.75	1.12	20.13	20.14	21.64	21.39	20.14	39.6	39.6	37.7	41.6	39.6	35.3	35.1	37.7	38.7	36.2	0.48	0.55	0.5	0.96	0.52	44.94	39.96	44.04	14.06	40.56	7.21	10.33	6.76	28.74	4.29	80.11	74.39	65.48	68.95	69.1	1.11	0.99	1.09	0.35	1.00
262144	70-20-10	32	0	0	0	0	0	0.01	0	0	0	0	0.8	0	0	0	0	0.59	0.69	0.63	1.11	0.63	0.7	0.8	0.75	1.4	0.82	0.87	1.15	0.93	6.73	1.17	21.66	21.67	23.09	22.86	21.66	42.3	42.3	40.1	44.3	42.3	38.3	39.2	40.5	41.5	38.9	0.51	0.62	0.56	0.96	0.57	42.83	36.96	40.46	15.72	38.08	6.34	7.8	6.03	22.64	4.85	80.32	74.19	65.48	69.77	69.65	1.12	0.97	1.06	0.41	1.00
524288	70-20-10	32	0	0	0	0	0	0.01	0	0	0	0	0.26	0	0	0	0	0.64	0.76	0.81	1.21	0.84	0.75	0.86	0.94	1.47	1	0.93	1.21	1.09	6.65	1.3	23.17	23.19	24.56	24.37	23.21	45.5	45.5	43.5	47.5	45.5	41.9	42.1	44	44.9	42.5	0.56	0.69	0.74	1.09	0.78	40.26	34.28	33.11	15.31	30.92	6.18	5.99	9.3	19.39	11.36	80.37	73.99	65.1	70.37	67.45	1.30	1.11	1.07	0.50	1.00
1048576	70-20-10	32	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.83	0.99	1.14	1.52	1.15	0.93	1.08	1.24	1.76	1.27	1.13	1.43	1.34	8.71	1.54	24.7	24.73	26.06	25.91	24.75	48.7	48.7	46.6	50.7	48.7	45.7	45.7	47.4	49.3	46	0.76	0.91	1.07	1.4	1.08	32.38	27.78	24.93	12.65	24.11	11.15	7.53	15.73	20.41	18.16	79.24	72.73	58.14	73.01	59.32	1.34	1.15	1.03	0.52	1.00
