metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	0.01	0	0.01	0.01	0.02	0.01
seek-time	4.32725	5.1316	5.60159	6.0819	5.17202	7.23972
modify-time	4.37582	4.67756	14.53397	15.02799	6.67393	6.50246
seek-length	20.71	20.69	21.85	21.77	20.76	20.74
latency-impact	3.278525	3.3589375	6.255825	6.9383	3.406375	3.9618625
throughput	48.79	44.14	24.87	23.45	38.11	29.31
