metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	0	0	0	0	0	0
seek-time	3.69161	4.21867	4.6981	4.96048	4.38094	6.27286
modify-time	3.7463	4.0687	7.43907	9.98626	4.35273	4.7283
seek-length	21.47	21.46	22.51	22.52	21.46	21.5
latency-impact	3.0396375	3.1069	7.5655375	8.8701375	2.6691375	3.351425
throughput	51.31	47.84	38.22	37.73	47.49	33.67
