metric	castle	castleL	citrus	citrusL	howley	howleyL
retries	4.98	3.97	4.15	4.28	13.02	8.15
seek-time	6.27945	7.02184	5.66249	6.41711	7.73568	9.02298
modify-time	5.22069	5.2466	37.88345	37.57001	10.1833	9.88125
seek-length	17.35	16.65	18.54	16.72	18.19	16.27
throughput	34.47	32.97	5.6	5.56	15.11	14.56
