k t
1024																	0.46
2048																	0.52
4096																	0.62
8192																	0.71
16384																	0.73
32768																	0.76
65536																	0.77
131072																	0.67
262144																	0.80
524288																	0.68
1048576																	0.62
2097152																	0.60
4194304																	0.47
8388608																	0.96
16777216																	0.73
1024																	0.31
2048																	0.31
4096																	0.34
8192																	0.38
16384																	0.44
32768																	0.46
65536																	0.44
131072																	0.45
262144																	0.42
524288																	0.64
1048576																	0.80
2097152																	0.86
4194304																	0.84
8388608																	0.84
16777216																	0.81
1024																	0.30
2048																	0.28
4096																	0.28
8192																	0.28
16384																	0.29
32768																	0.33
65536																	0.34
131072																	0.31
262144																	0.30
524288																	0.32
1048576																	0.44
2097152																	0.58
4194304																	0.51
8388608																	0.67
16777216																	0.70
