1					1.06
61					1.06
122					1.05
183					1.05
244					1.06
1					1.05
61					1.04
122					0.97
183					1.03
244					1.06
1					1.02
61					0.99
122					0.96
183					1.07
244					1.09
1					1.01
61					0.95
122					0.96
183					0.97
244					1.22
1					1.02
61					1.04
122					1.06
183					1.08
244					1.09
1					1.01
61					1.03
122					1.04
183					1.06
244					1.06
1					1.00
61					1.00
122					0.99
183					1.04
244					1.07
1					1.00
61					0.97
122					0.97
183					1.01
244					1.11
1					0.81
61					1.08
122					1.16
183					1.22
244					1.26
1					0.85
61					1.04
122					1.12
183					1.18
244					1.24
1					0.90
61					0.99
122					1.06
183					1.14
244					1.21
1					0.93
61					0.95
122					1.01
183					1.06
244					1.16
