1	1.02
2	1.03
30	1.05
61	1.03
90	1.02
122	1.02
150	1.03
183	1.04
210	1.04
244	1.05
1	1.03
2	1.05
30	1.04
61	1.02
90	0.97
122	0.97
150	1.02
183	1.02
210	1.04
244	1.05
1	1.00
2	1.01
30	1.00
61	0.99
90	1.03
122	0.96
150	1.03
183	1.04
210	0.99
244	1.06
1	1.03
2	1.01
30	1.02
61	0.96
90	0.96
122	0.96
150	0.96
183	0.97
210	0.89
244	1.15
1	1.00
2	1.00
30	1.01
61	1.03
90	1.03
122	1.04
150	1.05
183	1.06
210	1.07
244	1.08
1	1.00
2	1.00
30	1.01
61	1.02
90	1.01
122	1.02
150	1.03
183	1.04
210	1.05
244	1.05
1	1.00
2	1.01
30	1.01
61	0.99
90	1.03
122	0.99
150	1.02
183	1.03
210	1.03
244	1.05
1	1.00
2	1.00
30	0.99
61	0.98
90	0.98
122	0.97
150	1.01
183	1.01
210	0.97
244	1.07
1	0.91
2	0.94
30	0.99
61	1.03
90	1.08
122	1.13
150	1.16
183	1.19
210	1.21
244	1.23
1	0.94
2	0.90
30	0.97
61	1.01
90	1.02
122	1.07
150	1.10
183	1.13
210	1.16
244	1.18
1	0.94
2	0.95
30	0.96
61	0.99
90	1.00
122	1.03
150	1.06
183	1.10
210	1.12
244	1.15
1	0.97
2	0.96
30	0.96
61	0.97
90	0.97
122	1.00
150	1.02
183	1.04
210	1.05
244	1.11
