1					1.06
2					1.09
30					1.09
61					1.06
90					1.05
122					1.05
150					1.05
183					1.05
210					1.06
244					1.06
1					1.05
2					1.09
30					1.08
61					1.04
90					0.96
122					0.97
150					1.02
183					1.03
210					1.07
244					1.06
1					1.02
2					1.03
30					0.99
61					0.99
90					1.06
122					0.96
150					1.04
183					1.07
210					0.98
244					1.09
1					1.01
2					1.02
30					1.03
61					0.95
90					0.95
122					0.96
150					0.96
183					0.97
210					0.83
244					1.22
1					1.02
2					1.03
30					1.02
61					1.04
90					1.05
122					1.06
150					1.06
183					1.08
210					1.08
244					1.09
1					1.01
2					1.01
30					1.02
61					1.03
90					1.02
122					1.04
150					1.05
183					1.06
210					1.07
244					1.06
1					1.00
2					1.01
30					1.01
61					1.00
90					1.04
122					0.99
150					1.03
183					1.04
210					1.03
244					1.07
1					1.00
2					1.00
30					0.99
61					0.97
90					0.96
122					0.97
150					1.00
183					1.01
210					0.95
244					1.11
1					0.81
2					0.87
30					0.99
61					1.08
90					1.12
122					1.16
150					1.19
183					1.22
210					1.23
244					1.26
1					0.85
2					0.85
30					0.96
61					1.04
90					1.06
122					1.12
150					1.15
183					1.18
210					1.22
244					1.24
1					0.90
2					0.91
30					0.93
61					0.99
90					1.02
122					1.06
150					1.09
183					1.14
210					1.15
244					1.21
1					0.93
2					0.94
30					0.94
61					0.95
90					0.96
122					1.01
150					1.04
183					1.06
210					1.06
244					1.16
