1						0.96
2						0.96
30						1.18
61						1.20
90						1.11
122						1.07
150						1.04
183						1.04
210						1.03
244						1.01
1						0.99
2						0.99
30						1.20
61						1.17
90						1.15
122						1.10
150						1.06
183						1.04
210						1.04
244						1.03
1						0.98
2						0.98
30						1.14
61						1.13
90						1.11
122						1.10
150						1.08
183						1.06
210						1.05
244						1.03
1						0.99
2						0.98
30						1.10
61						1.10
90						1.08
122						1.07
150						1.07
183						1.06
210						1.05
244						1.03
1						0.89
2						0.88
30						0.98
61						0.95
90						0.93
122						0.93
150						0.93
183						0.93
210						0.93
244						0.93
1						0.91
2						0.93
30						0.99
61						0.96
90						0.95
122						0.94
150						0.94
183						0.94
210						0.94
244						0.94
1						0.95
2						0.95
30						1.03
61						0.98
90						0.97
122						0.97
150						0.96
183						0.96
210						0.96
244						0.95
1						0.96
2						0.96
30						1.03
61						1.00
90						0.99
122						0.98
150						0.98
183						0.97
210						0.97
244						0.98
1						0.70
2						0.76
30						0.83
61						0.83
90						0.83
122						0.83
150						0.83
183						0.83
210						0.84
244						0.83
1						0.74
2						0.77
30						0.84
61						0.84
90						0.84
122						0.84
150						0.83
183						0.84
210						0.85
244						0.85
1						0.82
2						0.83
30						0.85
61						0.86
90						0.86
122						0.86
150						0.87
183						0.86
210						0.87
244						0.86
1						0.87
2						0.88
30						0.90
61						0.89
90						0.90
122						0.89
150						0.89
183						0.89
210						0.89
244						0.89
