1		0.99
2		0.98
30		1.17
61		1.00
90		1.00
122		1.00
150		1.00
183		1.00
210		1.00
244		1.00
1		1.00
2		1.01
30		1.20
61		1.13
90		1.01
122		0.99
150		1.00
183		1.00
210		1.00
244		1.00
1		1.00
2		1.00
30		1.16
61		1.16
90		1.07
122		1.01
150		1.00
183		1.00
210		1.00
244		1.00
1		1.00
2		0.97
30		1.13
61		1.14
90		1.11
122		1.08
150		1.04
183		1.01
210		1.00
244		1.00
1		0.95
2		0.95
30		1.00
61		1.01
90		1.00
122		1.01
150		1.00
183		1.01
210		1.00
244		1.01
1		0.96
2		0.99
30		1.00
61		1.01
90		1.00
122		1.01
150		1.00
183		1.01
210		1.00
244		1.01
1		0.97
2		0.97
30		1.01
61		1.01
90		1.00
122		1.00
150		1.00
183		1.01
210		1.00
244		1.01
1		0.97
2		0.98
30		1.03
61		1.00
90		1.00
122		1.00
150		1.00
183		1.00
210		1.01
244		1.00
1		0.87
2		0.92
30		1.00
61		1.00
90		1.00
122		1.00
150		0.98
183		1.00
210		1.00
244		1.00
1		0.87
2		0.90
30		1.00
61		1.01
90		0.99
122		1.00
150		0.99
183		1.00
210		0.99
244		1.00
1		0.91
2		0.93
30		1.00
61		1.00
90		1.00
122		1.01
150		1.00
183		1.00
210		1.00
244		1.01
1		0.92
2		0.93
30		0.99
61		1.00
90		0.99
122		1.00
150		0.99
183		1.00
210		1.00
244		1.00
