1						0.96
61						1.20
122						1.07
183						1.04
244						1.01
1						0.99
61						1.17
122						1.10
183						1.04
244						1.03
1						0.98
61						1.13
122						1.10
183						1.06
244						1.03
1						0.99
61						1.10
122						1.07
183						1.06
244						1.03
1						0.89
61						0.95
122						0.93
183						0.93
244						0.93
1						0.91
61						0.96
122						0.94
183						0.94
244						0.94
1						0.95
61						0.98
122						0.97
183						0.96
244						0.95
1						0.96
61						1.00
122						0.98
183						0.97
244						0.98
1						0.70
61						0.83
122						0.83
183						0.83
244						0.83
1						0.74
61						0.84
122						0.84
183						0.84
244						0.85
1						0.82
61						0.86
122						0.86
183						0.86
244						0.86
1						0.87
61						0.89
122						0.89
183						0.89
244						0.89
